"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","323.86","314.077","301.177","295.841","288.255","294.793","280.366","279.232","275.963","276.88","321.396","880.293","269.72","267.189","275.843","263.852","255.094","252.694","255.681","258.11","258.701","257.461","258.261","256.822","256.894","259.094","255.916","256.403","263.158","261.751","248.913","270.244","246.982","248.993","245.892","239.508","239","225.483","193.545","162.256","180.505","182.506","185.6","189.195","187.124","190.792","194.908","204.381","203.853","197.76","184.205","184.447","182.932","193.102","183.411","176.354","169.798","161.494","149.093","153.103","156.333","",
"Bulgaria","BGR","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","165.15","162.382","165.873","159.585","154.409","152.052","155.084","164.444","160.589","169.053","160.03","172.885","172.488","164.402","169.382","177.536","173.445","185.434","184.599","191.124","190.34","188.293","197.349","198.158","202.666","210.854","208.534","206.517","210.212","217.849","219.412","212.446","229.642","240.227","246.715","245.658","238.023","244.071","241.483","222.457","225.005","222.768","218.165","215.846","215.996","219.427","218.686","212.03","208.154","203.75","196.902","194.111","187.916","184.811","190.232","185.528","187.257","183.956","","","","",
"Bahrain","BHR","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","342.069","323.034","308.593","294.152","282.983","268.034","254.36","240.79","227.714","213.319","207.224","194.863","188.896","181.671","175.135","170.866","164.402","158.139","157.828","151.028","149.879","144.282","143.894","142.472","135.904","135.698","133.811","132.565","131.172","130.265","129.677","126.462","126.604","120.125","122.785","122.603","119.462","122.316","125.295","118.942","114.508","106.683","105.484","100.451","98.418","94.357","91.973","86.546","79.417","73.671","69.082","68.72","67.232","66.609","66.019","64.528","63.291","61.813","59.62","58.199","59.491","",
"Bahamas, The","BHS","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","352.444","348.417","346.851","342.874","338.691","334.201","329.505","326.346","321.248","318.404","314.288","311.34","307.684","307.612","299.067","295.917","281.883","283.965","294.448","296.746","293.064","290.019","276.602","261.962","264.803","270.503","270.852","277.194","273.552","266.017","259.214","278.999","252.198","254.627","251.671","255.733","257.669","254.615","247.19","241.935","238.701","239.576","238.087","236.227","234.585","232.48","233.154","235.299","238.25","243.44","240.973","241.21","238.184","235.541","230.208","231.769","228.659","228.923","226.164","234.53","236.261","",
"Bosnia and Herzegovina","BIH","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","243.385","237.928","235.955","230.923","228.625","225.333","222.047","223.731","226.572","229.796","229.495","228.971","227.986","223.042","217.916","214.456","214.811","213.116","215.069","213.894","214.932","214.406","214.137","214.056","212.365","212.908","210.714","200.754","202.134","200.596","197.184","204.065","680.794","691.882","391.839","254.919","181.393","176.952","170.979","159.58","166.773","159.869","155.042","146.196","138.219","149.687","138.381","137.161","127.666","123.854","119.015","115.644","114.47","117.11","118.933","109.237","100.543","97.011","92.691","88.494","97.159","",
"Belarus","BLR","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","204.65","198.56","203.921","199.634","193.62","198.214","198.797","202.68","208.441","216.685","226.439","226.107","230.385","230.297","232.667","248.7","254.896","260.781","265.549","276.726","277.656","279.223","279.032","282.453","298.328","275.577","241.926","246.357","250.118","273.41","281.951","294.245","310.855","343.266","348.399","363.728","358.553","360.641","370.602","375.925","354.094","369.56","383.421","372.783","362.612","369.192","355.849","332.936","334.107","330.003","334.194","336.426","287.27","273.671","261.217","245.384","234.903","227.765","231.323","","","",
"Belize","BLZ","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","289.237","312.665","279.894","273.285","265.558","257.076","257.512","254.723","244.254","239.285","233.13","218.8","218.525","226.561","219.386","205.398","208.741","210.362","204.93","198.63","192.869","189.08","189.948","192.882","193.763","176.921","183.507","180.085","174.463","181.345","179.999","188.703","193.047","198.07","202.468","210.842","218.125","228.278","240.704","243.323","249.238","255.526","256.73","255.946","252.316","249.934","243.525","238.146","231.789","224.4","218.85","212.918","203.065","194.17","203.784","208.195","204.54","201.648","199.067","194.636","239.508","",
"Bermuda","BMU","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","413.037","408.721","403.374","404.253","400.507","396.883","393.598","391.259","389.28","383.525","379.866","375.544","371.772","365.913","359.758","358.602","354.226","349.424","344.179","339.263","334.656","331.242","329.304","328.793","323.501","321.865","318.332","315.601","308.924","304.598","299.363","294.206","288.593","283.508","282.113","279.276","276.555","269.021","266.354","265.18","262.85","260.641","258.73","259.45","255.545","253.542","250.508","250.22","247.288","244.255","243.995","241.179","242.257","238.837","237.511","235.818","231.146","231.098","231.694","231.108","316.665","",
"Brazil","BRA","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","354.358","349.877","344.128","339.704","335.834","332.268","328.416","324.513","319.893","314.803","310.518","306.92","302.399","298.168","293.53","288.77","284.572","281.12","276.97","272.226","268.277","264.199","260.509","257.068","254.119","251.13","247.916","244.805","241.668","238.281","244.86","242.386","239.996","237.27","234.153","233.784","230.186","228.055","226.144","225.198","230.417","227.474","227.348","224.274","221.774","212.949","210.546","206","201.022","197.694","195.948","193.011","190.624","184.185","177.824","178.498","178.499","170.492","165.432","161.413","189.684","",
"Barbados","BRB","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","231.413","225.939","220.502","214.605","206.366","206.082","200.765","201.681","198.511","200.268","205.917","207.644","203.649","206.797","205.298","201.14","199.65","193.861","189.34","184.526","180.229","172.296","166.498","164.062","164.88","163.27","164.382","163.364","170.697","174.477","175.302","176.336","177.734","179.335","184.388","181.453","179.071","182.326","180.908","175.222","170.064","165.536","162.735","160.225","151.388","147.249","145.439","142.715","141.76","141.152","138.273","135.861","134.528","133.051","131.902","130.876","129.608","128.78","127.555","126.348","125.431","",
"Brunei Darussalam","BRN","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","302.657","297.787","342.158","286.386","280.137","275.393","265.504","258.342","252.623","246.261","240.192","234.654","228.737","224.052","220.625","216.376","213.496","211.227","209.467","208.244","207.276","206.576","205.934","205.125","203.752","202.906","200.825","198.947","196.794","194.413","191.778","188.571","185.77","182.452","179.035","175.558","171.768","168.345","164.994","161.836","158.94","156.135","154.119","152.003","150.651","149.2","148.268","147.573","147.046","146.836","146.521","146.055","146.071","145.907","145.708","145.427","144.963","144.372","143.807","142.554","141.401","",
"Bhutan","BTN","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","592.683","586.641","580.213","573.398","566.24","558.647","550.678","542.609","534.562","523.83","513.47","503.455","492.623","482.321","472.4","462.413","452.206","442.612","433.509","425.025","416.429","407.428","398.295","389.322","380.52","373.174","364.396","355.259","347.193","339.517","332.247","325.251","316.383","308.547","302.322","293.068","285.298","278.411","270.664","263.03","264.597","249.39","242.673","235.885","229.534","223.502","217.88","210.845","204.248","199.088","192.865","188.3","182.983","178.033","173.848","169.981","166.636","163.744","160.834","158.172","155.847","",
"Botswana","BWA","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","441.089","437.297","433.694","429.586","426.623","423.886","421.376","418.742","415.812","413.104","409.638","404.906","400.257","395.322","390.324","385.832","380.695","376.03","373.719","370.195","366.44","362.952","359.928","357.434","359.677","359.335","367.595","380.49","403.375","422.188","448.144","474.359","497.7","493.239","541.289","557.788","556.589","563.429","578.733","591.988","602.93","611.28","618.624","613.393","600.525","589.476","541.747","504.234","469.88","457.187","418.544","414.743","406.493","389.904","375.821","336.805","297.446","269.544","288.806","302.053","292.178","",
